,Team,Final Record,Year,Wins,Losses,GP,Win Pct,"Team, Year"
15,DEN,24-58,1991-92,24.0,58.0,82.0,0.2926829268292683,"DEN, 1991-92"
20,MIL,25-57,1995-96,25.0,57.0,82.0,0.3048780487804878,"MIL, 1995-96"
17,PHL,25-57,1993-94,25.0,57.0,82.0,0.3048780487804878,"PHL, 1993-94"
39,CLE,22-50,2020-21,22.0,50.0,72.0,0.3055555555555556,"CLE, 2020-21"
40,OKC,22-50,2020-21,22.0,50.0,72.0,0.3055555555555556,"OKC, 2020-21"
30,WAS,26-56,2009-10,26.0,56.0,82.0,0.3170731707317073,"WAS, 2009-10"
28,MIL,26-56,2007-08,26.0,56.0,82.0,0.3170731707317073,"MIL, 2007-08"
27,TOR,27-55,2005-06,27.0,55.0,82.0,0.32926829268292684,"TOR, 2005-06"
4,POR,27-55,1973-74,27.0,55.0,82.0,0.32926829268292684,"POR, 1973-74"
36,PHI,28-54,2016-17,28.0,54.0,82.0,0.34146341463414637,"PHI, 2016-17"
8,HOU,28-54,1977-78,28.0,54.0,82.0,0.34146341463414637,"HOU, 1977-78"
16,MIL,28-54,1992-93,28.0,54.0,82.0,0.34146341463414637,"MIL, 1992-93"
19,DET,28-54,1994-95,28.0,54.0,82.0,0.34146341463414637,"DET, 1994-95"
37,ORL,29-53,2016-17,29.0,53.0,82.0,0.35365853658536583,"ORL, 2016-17"
5,LAL,30-52,1974-75,30.0,52.0,82.0,0.36585365853658536,"LAL, 1974-75"
35,DEN,30-52,2014-15,30.0,52.0,82.0,0.36585365853658536,"DEN, 2014-15"
31,DET,30-52,2010-11,30.0,52.0,82.0,0.36585365853658536,"DET, 2010-11"
21,GSW,30-52,1996-97,30.0,52.0,82.0,0.36585365853658536,"GSW, 1996-97"
22,NYK,30-52,2001-02,30.0,52.0,82.0,0.36585365853658536,"NYK, 2001-02"
1,DET,31-51,1969-70,31.0,51.0,82.0,0.3780487804878049,"DET, 1969-70"
33,MIN,31-51,2012-13,31.0,51.0,82.0,0.3780487804878049,"MIN, 2012-13"
14,SEA,31-51,1985-86,31.0,51.0,82.0,0.3780487804878049,"SEA, 1985-86"
10,IND,31-51,1977-78,31.0,51.0,82.0,0.3780487804878049,"IND, 1977-78"
38,MIN,31-51,2016-17,31.0,51.0,82.0,0.3780487804878049,"MIN, 2016-17"
11,CHI,31-51,1978-79,31.0,51.0,82.0,0.3780487804878049,"CHI, 1978-79"
7,KCK,31-51,1977-78,31.0,51.0,82.0,0.3780487804878049,"KCK, 1977-78"
6,ATL,31-51,1976-77,31.0,51.0,82.0,0.3780487804878049,"ATL, 1976-77"
9,BOS,32-50,1977-78,32.0,50.0,82.0,0.3902439024390244,"BOS, 1977-78"
32,LAC,32-50,2010-11,32.0,50.0,82.0,0.3902439024390244,"LAC, 2010-11"
18,BOS,32-50,1993-94,32.0,50.0,82.0,0.3902439024390244,"BOS, 1993-94"
29,TOR,33-49,2008-09,33.0,49.0,82.0,0.4024390243902439,"TOR, 2008-09"
3,HOU,34-48,1971-72,34.0,48.0,82.0,0.4146341463414634,"HOU, 1971-72"
13,CHI,34-48,1981-82,34.0,48.0,82.0,0.4146341463414634,"CHI, 1981-82"
24,CLE,35-47,2003-04,35.0,47.0,82.0,0.4268292682926829,"CLE, 2003-04"
23,ATL,35-47,2002-03,35.0,47.0,82.0,0.4268292682926829,"ATL, 2002-03"
26,SEA,35-47,2005-06,35.0,47.0,82.0,0.4268292682926829,"SEA, 2005-06"
2,ATL,36-46,1971-72,36.0,46.0,82.0,0.43902439024390244,"ATL, 1971-72"
25,ORL,36-46,2005-06,36.0,46.0,82.0,0.43902439024390244,"ORL, 2005-06"
0,SEA,36-46,1969-70,36.0,46.0,82.0,0.43902439024390244,"SEA, 1969-70"
12,DEN,37-45,1980-81,37.0,45.0,82.0,0.45121951219512196,"DEN, 1980-81"
34,UTA,38-44,2014-15,38.0,44.0,82.0,0.4634146341463415,"UTA, 2014-15"
